,Gender,Gt,Operative,SI,Score,k_Pt,k_SIt,k_ut,t
180,male,0.70199467887844,True,0.0008661490562273885,100.0,7.606053356136757e-05,391.43428720292104,999.9999999999998,891
181,female,0.8926810527793937,True,0.00019327143929131227,88.88888888888889,0.11230942900414788,1021.8826342454762,105.66807972404345,1451
182,female,0.8784168835901007,True,0.0001521684753182593,34.285714285714285,0.37874320094506164,10000.00000000001,999.9999999999998,4222
183,male,1.0204009910634417,True,9.474269182708804e-05,100.0,0.049570495960579566,10000.00000000001,999.9999999999998,707
184,male,0.8738067228639924,True,0.00018528601076222436,43.75,0.295619353348373,10000.00000000001,999.9999999999998,5576
185,male,0.8796933996283389,True,0.0002065768405731733,0.0,1.0,235.37789758573416,999.9999999999998,4250
186,female,0.8645404294378629,True,0.00012037333810305737,100.0,1.2164642903032322e-05,264.6137526827054,11.392200111072116,714
187,male,0.8707782752492502,True,0.00018997290054664616,73.68421052631578,0.29919899945290274,10000.00000000001,9.977574037616844,5133
188,male,0.8432496887432798,True,0.0003292247080063297,66.66666666666666,1.0,391.1406454355257,999.9999999999998,1364
189,male,0.8751974177117561,True,0.0002061017794857756,69.56521739130434,0.20043154797936602,10000.00000000001,999.9999999999998,2586
190,male,0.9251308171979243,True,0.00012401414458382607,64.0,0.24600743442968434,10000.00000000001,22.96553949317065,2596
191,female,0.8836884501530762,True,0.00017180306133867643,91.13924050632912,1.0,207.30005216872317,24.765391486424754,9258
192,male,0.9819740797083084,True,8.214585830230226e-05,100.0,0.02480650807352544,10000.00000000001,46.693535061415986,923
193,female,0.898454126443529,True,0.00015887949508641442,95.83333333333334,0.006034535797694052,100.00000000000004,999.9999999999998,5113
194,female,0.8191700996263221,True,0.0001784328376052983,100.0,0.00014610218900999912,551.9716451705353,0.00528081362197853,724
195,female,0.8598398893516574,True,0.00011333307089745179,80.0,0.7767647837284402,141.6324966894266,3.516383302310321,621
196,male,0.8966328503582356,True,0.00015323486106569686,43.18181818181818,0.3726676389540453,8105.87068316659,141.16706317336082,6186
197,female,0.846423459638615,True,0.000262109759738747,100.0,0.1098350999135083,271.8465687230072,0.015206028348817456,314
198,male,0.8307010716364887,True,0.0002559375816126142,100.0,1.0,10000.00000000001,0.7405802654401178,522
199,male,0.9116464226773091,True,8.354223460383174e-05,62.06896551724138,1.0,557.2322988709566,93.92698508905772,3459
200,male,0.8690051293809812,True,0.00021133514176438842,80.0,0.155791583644822,10000.00000000001,999.9999999999998,2169
201,male,0.7991237161210486,True,0.0006900330367917746,94.73684210526315,1.0,848.008742818463,999.9999999999998,2714
202,male,0.8147584906409528,True,0.0003078706278903904,100.0,0.5168442009114126,421.4617240150049,999.9999999999998,1010
203,male,0.8931803467954638,True,0.00017241904963957976,97.43589743589743,0.0019980986233947935,317.944821625359,77.49312382364029,4934
204,male,0.91229010978541,True,0.000139700459367816,90.9090909090909,0.19127820102850104,10000.00000000001,999.9999999999998,1296
205,female,0.9064679157008688,True,9.351230882953605e-05,80.0,2.6354032307189058e-05,269.0980958245587,306.46357189632306,1117
206,female,0.8024513743382173,True,0.000510269464099979,84.21052631578947,1.0,275.70109163708173,999.9999999999998,2909
207,female,0.9129889100228792,True,0.00017475751792753852,81.25,0.28542129225288304,2091.520155272432,13.716494710979568,6677
208,male,0.88768292886687,True,0.00016753814163439248,80.0,5.802771455205398e-05,10000.00000000001,999.9999999999998,2402
209,male,1.1906886569489001,True,2.3461737232514553e-05,100.0,0.0009772678088288743,10000.00000000001,999.9999999999998,1450
210,female,0.7808556037490962,True,0.0006022775691032584,90.0,0.012208019292448984,257.1854109466692,999.9999999999998,1384
211,male,1.0433131214963844,True,6.309165572010112e-05,100.0,0.05872655395445079,10000.00000000001,33.406532309110865,274
212,female,0.7531553440190766,True,0.0008976743148753347,100.0,1.0,210.5397893723857,999.9999999999998,682
213,female,0.8004128497346473,True,0.00021270786861897717,100.0,1.4090426875793243e-06,100.00000000000004,999.9999999999998,479
